===== Disks disks on pgsodb02 =====

^Disk^Size(MB)^PVID^Array S/N^LUN^VG/VGID^
|hdisk0|141312|00f97585d5d849b5|PURE-FLASH-A6EBA101800B4893|0011343D |rootvg |
|hdisk1|141312|00f97585d5eb0e8e|PURE-FLASH-A6EBA101800B4893|0011343E |altinst_rootvg |
|hdisk2|104448|00f97585d5baa861|PURE-FLASH-A6EBA101800B4893|0011343F |datavg01 |
|hdisk3|104448|00f97585d5baa8e4|PURE-FLASH-A6EBA101800B4893|00113440 |datavg01 |
|hdisk4|104448|00f97585d5baa966|PURE-FLASH-A6EBA101800B4893|00113441 |datavg01 |
|hdisk5|51200|00fbaae9082d944f|IBM-v9kv7k-638A95F2258000524|000000000075FA2 |None |
|hdisk6|5220|00fbaae9086e2990|IBM-v9kv7k-638A95F2258000524|000000000075FF4 |None |
|hdisk7|2764|00fbaae9086e194e|IBM-v9kv7k-638A95F2258000524|000000000075FF5 |None |
|hdisk8|2764|00fbaae9086e035d|IBM-v9kv7k-638A95F2258000524|000000000075FF6 |None |
|hdisk9|10240|00fbaae97d2e91f7|IBM-v9kv7k-638A95F2258000524|00000000006BE9B |None |
|hdisk10|2764|00fbaae9086de63a|IBM-v9kv7k-638A95F2258000524|000000000075FF7 |None |
|hdisk11|920|00fbaae9086dd710|IBM-v9kv7k-638A95F2258000524|000000000075FF8 |None |
|hdisk12|920|00fbaae9086dc7b1|IBM-v9kv7k-638A95F2258000524|000000000075FF9 |None |
|hdisk13|920|00fbaae9086db874|IBM-v9kv7k-638A95F2258000524|000000000075FFA |None |
|hdisk14|920|00fbaae9086da8da|IBM-v9kv7k-638A95F2258000524|000000000075FFB |None |
|hdisk15|920|00fbaae9086d99e1|IBM-v9kv7k-638A95F2258000524|000000000075FFC |None |
|hdisk16|920|00fbaae9086d8abd|IBM-v9kv7k-638A95F2258000524|000000000075FFD |None |
|hdisk17|24880|00fbaae9086d6d5c|IBM-v9kv7k-638A95F2258000524|000000000075FFE |None |
|hdisk18|12592|00fbaae9086d54b7|IBM-v9kv7k-638A95F2258000524|000000000075FFF |None |
|hdisk19|1536|00fbaae9086d446a|IBM-v9kv7k-638A95F2258000524|000000000076000 |None |
|hdisk20|26112|00fbaae9086d25e9|IBM-v9kv7k-638A95F2258000524|000000000076001 |None |

