^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|98 | taprvio90  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |6  |yes  |powervm  |8284-22A-SN214BB7V  |VIOS90  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|99 | taprvio91  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |6  |yes  |powervm  |8284-22A-SN214BB7V  |VIOS91  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|100 | tsdv1d02  |SAP Enterprise Portal  |taitc118  |  |  |Lincolnshire  |  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |SAP DEP, Oracle DB  |  || 
|101 | tsqa1d02  |SRM Enterprise Portal Oracle DB Server, Titan  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-QA-9131-52A-SN065A1BG  |SAP SRM QEP, Oracle DB,Titan  |  || 
|102 | tspr1d02  |SRM Enterprise Portal DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-PROD-9131-52A-SN066768G  |SAP PEP,TITAN  |  || 
|103 | paft3p02  |Standby PTA EDI Gentran FTP Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |PAFT3P02-8203-E4A-SN06C17A2  |EDI Gentran FTP and Secure FTP  |  | EDI Team| 
|104 | taprvio100  | Unix Infrastructure - VIOS  |taitc118  |  |  | Lincolnshire  |  |  |powervm/vmware  |  |VIOS110  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|105 | taprvio101  | provides virtualization to Power8 AIX systems  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|106 | qaerap01  |FTA ERP App Server, Interfeace to EDI  |taitc118  |  |  |Lincolnshire  |4  |yes  |IBM powervm  |  |SAP FTA Application Server  |  | David Morris, Todd Davis, Rick Roeber, Jake Dombrowski, Robin Kuhn, Inge Pinnoy, Paul Burke, Thomas Jacob,Luc Adons , Paul Caston, Danny Smeets| 
|107 | pgscdb01  |EWM SAP Oracle DB Server,Central Instance, App Server,Autosys  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8284-22A-SN215D22V  |SAP EWM PSC, Autosys, Oracle DB Server  |  || 
|108 | xgscdb01  |EWM SAP Oracle DB Server,Central Instance, App Server,Autosys-Dev Dual Maint.  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8284-22A-SN215D22V  |SAP EWM PSC, Autosys, Oracle DB Server  |  || 
|109 | peerap09  |TA2 ERP App Server#9  |taitc118  |IBM,8284-22A  |215D22V  |Lincolnshire  |11  |yes  |IBM Power VIOS  |2  |SAP ERP TA2  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|110 | peerap08  |TA2 ERP App Server#8  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM Power VIOS  |11  |SAP ERP TA2  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|111 | taprvio110  | Provides virtualization to Power8 AIX  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |vios  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|112 | taprvio111  |Provides virtualization for AIX/Power8  |taitc118  |  |  |Lincilnshire  |  |  |powervm/vmware  |  |VIOS111  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|113 | qaap3p01  |FTA EDI Gentran App Server, Autosys Job Scheduler, ConnectDirect  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |Gentran EDI,Autosys,ConnectDirect  |  |Zigor Arosa,Moon Do,Paul Caston,Joel Schoofs,Rupak| 
|114 | xgdvetl1  |ETL DataStage App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |IBM Datasteg Information Server  |  |Moon Do,Brad Vail,Tom Ho,Debbie Rodnicki| 
|115 | xgpretl1  |ETL DataStage App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |IBM Datasteg Information Server  |  |Moon Do,Brad Vail,Tom Ho,Debbie Rodnicki| 
|116 | xnpr3d01  |SAP BI-BW SSP BI/BW SAP DB Server, Websphere Zycus Dev for Dual maint.  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP Business Datawarehouse BI-BW, Oracle, Websphere   |  || 
|117 | tnqa3d01  |SAP BI-BW SSP BI/BW SAP DB Server, Websphere Zycus  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP Business Datawarehouse BI-BW, Oracle, Websphere   |  || 
|118 | peerap07  |TA2 ERP App Server#7  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |  |  |11  |SAP ERP TA2  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|119 | peerap06  |TA2 ERP App Server#6  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |no  |  |5  |SAP ERP TA2  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|120 | peerap01  |SAP TA2 ERP App Server#1,SAP Webdispatcher,Interface to EU Autosys Job Scheduler  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |no  |  |6  |SAP ERP TA2,SAP Webdispatcher,Interface to EU Autosys Job Scheduler  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|121 | taprvio130  |Provide Virtualization for AIX/Power8  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS130  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|122 | taprvio131  |Provide Virtualization for AIX/Power8  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS131  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|123 | peerap05  |TA2 ERP App Server#5  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |IBM Power VIOS  |  |10  |SAP ERP TA2,SAP  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|124 | peerap04  |TA2 ERP App Server#1,SAP Webdispatcher,Interface to EU Autosys Job Scheduler  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |yes  |IBM Power VIOS  |4  |SAP ERP TA2,SAP Webdispatcher,Interface to EU Autosys Job Scheduler  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|125 | taprvio120  | Provide virtualization for AIX/Power8  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS120  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|126 | taprvio121  |Provides virtualization  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS121  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|127 | peerap03  |TA2 SAP ERP App Server#3  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |yes  |powervm  |9  |SAP ERP TA2  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|128 | TEPR2A02  |SAP TA2 ERP App Server#2,EDI (Gentran and GIS) interface server   |taitc118  |IBM,7998-61X  |  |Lincolnshire  |11  |yes  |powervm  |3  |SAP TA2 Application Server, EDI (Gentran and GIS) interface server  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|129 | pgnmsv01  |Primary Production Network Installation Manager Server   |taitc118  |  |  |lincolnshire  |6  |yes  |vios  |  |IBM NIM Server  |  |GIOS Unix Team, Robert Bieniek,Chris Stachowiak,Kapilraj Koroth| 
|130 | taprvio140  |AIX Virtualization  |  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|131 | taprvio141  |AIX Virtualization  |  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS141  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|132 | paap3p01  |PTA Gentran/Autosys/CDirect App/DB/App Server Prod  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |EDI Gentran, Autosys, Oracle DB  |  |Moon Do,Joel Schoofs,EDI Team, Job Control| 
|133 | peerap99  |TA2 Primary Central Instance and NFS App Server (Active Pasive Cluster with peerap98)  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |SAP ERP TA2  |  |Eric Van Asbroeck,Srinivas M,John Mclean,Eugenia Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis,Andrew Ellwood,Eric Van Asbroeck,Erich Schwarz,Paul Burke,Thomas Jacob,Will Jiang, Peter Pallen, Thorsten Schimpf| 
|134 | peerdb99  |TA2 Oracle Primary DB Server dataguard replication to peerdb98  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |SAP ERP TA2 Oracle DB Server  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|135 | TEPR2E01  |EU 3rd Party Severver, TA2 EDI Gentran,Autosys EU Job Scheduler  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F3A0  |EU Autosys and EDI Gentran server  |  |Prod Ctr,Joel Schoofs, Moon Do,EDI Team/CAP,Zigor Arosa| 
|136 | taprvio5  |VIOS Server 5   |taitc118  |  |  |Lincolnshire  |UNIN Rack #1 Blade Center 1 Blade 3  |yes  |powervm  |  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|137 | paerap07  |PTA ERP App Server#7 TA-Direct Interface to PTA  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA TA-Direct  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|138 | taitc058  |Atlas DR for EU  |taede057  |  |  |Interxion  |11  |yes  |powervm  |taede651-8202-E4B-SN065BA0P  |  |  || 
|139 | teprvio10  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interexion  | IBM Rack#1  | yes   |powervm  | 101260T  |VIOS10  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|140 | teprvio11  | VIO UNIX Infrastructure Server  |penmsv01  |  |  | Interxion  | IBM Rack#1  | yes   |powervm  | 101260T  |VIOS11  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|141 | dehrdb99  |Global HR SAP H1D Primary Oracle DB Server, Dataguard replication to dehrdb98,Dev env for H1P  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-8202-E4C-SN101260T  |Global HR SAP H1D Oracle DB Server  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|142 | pehrap98  |SAP Global HR Application Server H1P-Standby Central Instance(Active/Pasive Cluster with pehrap99)   |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P,Connect Direct  |  |Danny Smeets,Athi,Paul Caston| 
|143 | pehrdb98  |SAP Global HR-H1P Standby Oracle DB Server replication via Dataguard from pehrdb99  |penmsv01  |  |  |Interexion  |11  |yes  |IBM powervm  |  |SAP Global HR Oracle DB Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt| 
|144 | pgsmdb01  |SAP EU Solution Manager  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8202-E4C-SN101260T  |SAP Solution Manager for EU - SME  |  || 
|145 | dehrap98  |Global HR SAP H1D Central Instance Standby (Active/Pasive Cluster with dehrap98,Dev env for H1P)  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-8202-E4C-SN101260T  |Global HR SAP H1D  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|146 | penmsv01  |Interxion NIM Server-Infrastructure UNIX  |taitc118  |  |  |Interxion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |NIM - Network Instalation Manager  |  |Chris Stachowiak, Kapilraj Koroth, Robert Bieniek| 
|147 | teprvio20  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interexion  |  |Yes  |powervm  |Server-8205-E6C-SN101261T  |VIOS20  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|148 | teprvio21  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interexion  |  |Yes  |powervm  |Server-8205-E6C-SN101261T  |VIOS20  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|149 | pehrdb99  |SAP Global HR-H1P Primary Oracle DB Server replication via Dataguard to pehrdb98  |penmsv01  |  |  |Interexion  |11  |yes  |IBM powervm  |  |SAP Global HR oracle DB Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt| 
|150 | pehrap99  |SAP Global HR Application Server H1P-Primary Central Instance(Active/Pasive Cluster with pehrap98)   |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P,Connect Direct  |  |Danny Smeets,Athi,Paul Caston| 
|151 | pehrap01  |SAP Global HR Application Server H1P  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt| 
|152 | qehrdb01  |H1T HR/EU Oracle DB Server SME/EU Solution Manager  |penmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |SAP HR H1T,SME,Oracle DB Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|153 | qehrap01  |SAP H1T HR/EU App Server  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |SAP HR H1T Application Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|154 | dehrdb98  |Global HR SAP H1D Standby Oracle DB Server, Dataguard replication to dehrdb98,Dev env for H1P  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D Oracle DB Server  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|155 | dehrap99  |Global HR SAP H1D Central Instance Primary (Active/Pasive Cluster with dehrap98,Dev env for H1P)  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|156 | dehrap01  |Global HR Development SAP App Server,Dev env for H1P  |penmsv01  |  |  |Interexion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D Application Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|157 | sehrdb01  |Global HR SAP Sandbox  |penmsv01  |740  |  |Interexion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |SAP H1S  |  |GIOS SAP BASIS| 
|158 | taede055  |Content/Atlas Server Edenkoben  |taede057  |  |  |Edenkoben  |11  |yes  |powervm  |AtlasContent-9133-55A-SN651D47H  |CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|159 | taede057  |Backup Server/Atlas Content Test Server Edenkoben  |taede055  |  |  |Edenkoben  |11  |yes  |powervm  |AtlasBackup-9110-51A-SN651A2EF  |CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|160 | taerm057  |Backup Content/Atlas Server Ermua  |taerm055  |  |  |Ermua, Spain  |11  |yes  |powervm  |AtlasBackup-9110-51A-SN061A1FF  |CDB,SDB  |  || 
|161 | taerm055  |Content/Atlas Server Ermua  |taerm057  |  |  |Ermua, Spain  |11  |yes  |powervm  |AtlasContent-9133-55A-SN06DC4DG  |CDB,SDB  |  || 
|162 | taglk055  |Content/Atlas Server Grass Lake  |taglk057  |  |  |Grass Lake MI  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready, James Greenland| 
|163 | taglk057  |Backup Content/Atlas Server Grass Lake  |taglk055  |  |  |Grass Lake MI  |11  |yes  |None Full LPAR  |  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready, James Greenland| 
|164 | taglw057  |Backup Content/Atlas Server Gliwice  |taglw055  |  |  |Gliwice, Poland  |11  |yes  |powervm  |AtlasBackup-9110-51A-SN061A23F  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|165 | taglw055  |Content/Atlas Server Gliwice  |taglw057  |  |  |Gliwice, Poland  |Atlas GPDM  |yes  |powervm  |AtlasContent-9133-55A-SN06DC16G  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|166 | tamon057  |Backup Content/Atlas Server Monroe  |tamon055  |  |  |Monroe Mi. USA  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready, Joe Hall| 
|167 | tamon055  |Content/Atlas Server Monroe  |tamon057  |  |  |Monroe Mi. USA  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready, Joe Hall| 
|168 | taryb057  |Backup Server/Atlas Content Test Server Rybnik  |taryb055.eu.ten  |  |  |Rybnik, Poland  |Atlas GPDM  |yes  |powervm  |Atlas Backup-9110-51A-SN6518AAF  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|169 | taryb055  |Content/Atlas Server Rybnik  |taryb057bck  |  |  |Rybnik, Poland  |Atlas GPDM  |yes  |powervm  |AtlasContent-9133-55A-SN651D39H  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|170 | tastr055  |Content/Atlas Server Sint Troiden  |tastr057  |  |  |St Truiden Belgium  |Atlas GPDM  |no  |None  |AtlasContent-9133-55A-SN06DC14G  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|171 | taestr006  |SAS Sint Troiden Server  |tastr057  |  |  |Sint Troiden  |Atlas GPDM  |yes  |LPAR  |TAESTR006-9111-520-SN65BCE5B  |SAS  |  |Guido Leyssen,Pedro Bento| 
|172 | xaestr006  |SAS Sint Troiden Server  |tastr055  |  |  |Sint Troiden  |11  |no  |LPAR  |Server-8231-E1D-SN849E58V  |SAS  |  |Guido Leyssen| 
|173 | tastr057  |Backup Content/Atlas Server Sint Troiden  |tastr055  |  |  |Sint Truiden  |Atlas GPDM  |yes  |LPAR  |AtlasBackup-9110-51A-SN0618C5F  |MaxDB,CDB,SDB,NetBackup  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|174 | pgdmr055  |Atlas Content Global Repository  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |AtlasContent9133-55A-SN061FF1H  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|175 | pgdmr057  |Content/Atlas Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |AtlasBackup9110-51A-SN060A7AE  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|176 | taitc114  |HP-OV Monitoring,Oracle DB Server  |N/A  |RX3600  |  |Lincolnshire  |1  |no  |N/A  |taitc114  |HP OpenView,Oracle DB Server  |  |Todd Busniewski,Stephen Payne,John Ziegler,Paul Caston| 
|177 | taitc113  |Monitoring HP-OV Prod,Oracle DB Server  |N/A  |RX3600  |  |Lincolnshire  |1  |no  |N/A  |taitc113  |HP OpenView,Oracle DB Server  |  |Stephen Payne, John Ziegler,Todd Busniewski,Paul Caston| 
|178 | pablsv01  |Infrastructure Server - Redhat build.  |taitc118  |HS20  |  |Lincolnshire  |11  |No  |  |  |JBoss,Pythin,Apache  |  || 
|179 | taitc125  |PBX Monroe Infrastructure  |N/A  |x86  |  |Lincolnshire  |1  |yes  |vmware  |  |PBX Monroe Infrastructure  |  || 
|180 | ITCLAP01.na.ten  |ITCHOME GIOS Intranet Web Server  |N/A  |Compaq Pentium III CPU family  |  |Lincolnshire  |1  |no  |N/A  |  |Apache, MySQL, MRTG, GIOS ITCHOME, Unixdocs repository   |  |Steve Satkiewicz, Mike Maratta, Chris Stachowiak, Robert Bieniek, Kapilraj Koroth, Moon Do| 
|181 | pglgsv01  |Unix Centralized Log Server 1  |  |  |  |Lincolnshire   |  |  |  |  |Unix syslogd  |  |Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|182 | taitc059  |Lotus Notes Traveller  |N/A  |Wintel  |  |Lincolnshire  |1  |yes  |vmware  |  |Notes Traveler  |  || 
|183 | pgunap01  |Production Unisphere server for VMAX  |  |VMWARE  |  |Lincolnshire  |  |yes  |vmware  |  |Unisphere  |  |Kapilraj Koroth,Pawel Tkaczyk| 
|184 | relay1  |Reverse Proxy server 1  |  |  |  |Lincolnshire  |  |  |  |  |Apache HTTPD  |  |Steve Satkiewicz,Scott Knabe| 
|185 | relay2  |Reverse Proxy server 2   |  |  |  |Lincolnshire  |  |  |  |  |Apache HTTPD  |  |Steve Satkiewicz, Scott Knabe| 
|186 | relay3  |Reverse Proxy server 3   |  |  |  |Lincolnshire  |  |  |  |  |Apache HTTPD, apache iNotes for Monroe  |  |Chidam Kandaswamy,Bob Zale, Rob Michuda| 
|187 | ns1  |DMZ DNS Server 1   |  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |DNS  |  |Steve Satkiewicz,Scott Knabe| 
|188 | ns2  |DMZ DNS server 2  |  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |DNS  |  |Steve Satkiewicz,Scott Knabe| 
|189 | padbws01  | Discussion Board production Web Server  | taitc118  | RedHat Enterprise  |  | Lincolnshire DMZ  |  | yes  |vmware  |  |Apache, httpd  |  |Chidam Kandasamy,Denise Hanefeld,Joe Bacarella| 
|190 | dadbws01  | Discussion Board development Web Server  | taitc118  | RedHat Enterprise  |  | Lincolnshire DMZ  |  | yes  |vmware  |  |Apache, httpd  |  | Chidam Kandasamy,Denise Hanefeld,Joe Bacarella| 
|191 | paitap02  |DBA Admin script server  |N/A  |  |  |Lincolnshire  |1  |yes  |vmware  |  |Oracle DB run state maintenance scripts  |  |Zigor Arosa,Kempe Gowda,Jose Peris| 
|192 | pgitap01  |GIOS Unix Monitoring - Web server  |  |VmWAre  |  |Lincolnshire  |  |yes  |vmware  |  |Apache,httpd  |  |Chris stachowiak,Kapilraj Koroth,Robert Bieniek| 
|193 | taqa1a03  |UUMA Application server  |  |VMWARE  |Virtual  |Lincolnshire  |11  |yes  |vmware  |taitc320  |Unix User Management App  |  || 
|194 | pgntap01  |Network Team Jump server for WAN router management  |  |VMWARE  |N/A  |Lincolnshire  |  |yes  |vnware  |taitc320  |SSH Jump server for WAN router management  |  |Steve Satkiewicz,Mike Murrata| 
|195 | dafoap01  |Oracle Forms App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |2  |Oracle Forms DFOR  |  | Raj Shanmugam, Moon Do, Zigor Arosa| 
|196 | tedv2d03  |ERP Sandbox SAP Internation Oracle DB Server and Central Instance  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |India-9111-520-SN106302D  |SAP International ERP SE1  |  |Danny Smeets,Athi,Paul Caston,Raoul Serra| 
|197 | qeerap01  |IT0 SAP ERP App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |SAP IT0 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Robin Kuhn, Inge Pinnoy, Hilde Gybels, Todd Davis, Andrew Ellwood, Leszek Uchyla, Nicolas DeDobbeleer| 
|198 | deerap01  |C11 SAP ERP App Server (Dev env for TA2)  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |3  |SAP C11  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|199 | tedv2e01  |C11(EU) EDI Gentran App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Gentran EDI  |  |Peter Belcher,Rupak Nayak| 
|200 | taitc108  |Global SAP SRM Sandbox Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |3  |SAP SRM Sandbox, Oracle DB Server  |  |Danny Smeets, Athi, Raoul Serra, Paul Caston| 
|201 | dagi3p01  |Global GIS Development EDI App Server   |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |5  |Global GIS DSBI  |  |EDI Team,Jarek Grebieszkow| 
|202 | taitc109  |Global Solution manager-SMA TA-Direct,TA-Direct Load Balance and Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |taitc109-9111-520-SN10B493D  |SAP Solution Manager, SMA,Ta-Direct  |  || 
|203 | tgdvetl1  |DataStage Application Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |IBM Datastage Information Server  |  |Moon Do,Brad Vail,Tom Ho,Debbie Rodnicki| 
|204 | dahydb01  |Hyperion Oracle DB Dev/Test/Sand Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |2  |Hyperion Oracle DB Server DHYP,THYP,SHYP  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
